urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
555,89,"526,261",20103290,SMAN 105 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
556,90,"526,232",20100224,SMAN 30 JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
557,13,"526,229",10403792,SMAN PINTAR More..,Riau,Kab. Kuantan Singingi,SMA
558,4,"526,199",30105212,SMAN 3 PONTIANAK More..,Kalimantan Barat,Kota Pontianak,SMA
559,84,"526,184",20517786,SMAS AR ROHMAH DAU More..,Jawa Timur,Kab. Malang,SMA
560,91,"526,161",20101587,SMAN 84 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
561,14,"526,081",10303904,SMAN 1 PAYAKUMBUH More..,Sumatera Barat,Kota Payakumbuh,SMA
562,92,"526,03",20102213,SMAN 37 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
563,1,"525,846",69975824,MAN INSAN CENDEKIA KOTA KENDARI More..,Sulawesi Tenggara,Kota Kendari ,MA 
564,85,"525,809",20533803,SMKS TELKOM SANDHY PUTRA More..,Jawa Timur,Kota Malang,SMK
565,93,"525,782",20103787,SMKN 26 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMK
566,108,"525,782",20224511,SMA NEGERI 1 TASIKMALAYA More..,Jawa Barat,Kota Tasikmalaya,SMA
567,109,"525,707",69946479,SMA EDU GLOBAL More..,Jawa Barat,Kota Bandung ,SMA
568,94,"525,641",20101625,SMAN 16 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
569,95,"525,639",20330331,SMKN 1 KARANGANYAR More..,Jawa Tengah,Kab. Kebumen,SMK
570,86,"525,532",20534125,SMAN 1 MADIUN More..,Jawa Timur,Kota Madiun,SMA
571,15,"525,492",10211316,SMAS METHODIST More..,Sumatera Utara,Kota Binjai,SMA
572,96,"525,409",20306186,SMKN 2 PURWOREJO More..,Jawa Tengah,Kab. Purworejo,SMK
573,97,"525,399",20306180,SMKN 1 PURWOREJO More..,Jawa Tengah,Kab. Purworejo,SMK
574,41,"525,388",20401133,SMAN 2 SLEMAN More..,DI Yogyakarta,Kab. Sleman,SMA
575,110,"525,347",20218379,SMAN 2 TAMBUN SELATAN More..,Jawa Barat,Kab. Bekasi,SMA
576,98,"525,243",20321448,SMK NEGERI 2 TEMANGGUNG More..,Jawa Tengah,Kab. Temanggung,SMK
577,38,"525,171",20606847,SMAN 3 TANGERANG More..,Banten,Kota Tangerang,SMA
578,87,"525,147",20514347,SMAN 1 SRENGAT More..,Jawa Timur,Kab. Blitar,SMA
579,9,"525,072",50101696,SMAN 1 KUTA UTARA More..,Bali,Kab. Badung,SMA
580,111,"525,056",20219238,SMAN 15 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
581,99,"525,01",20306806,SMA NEGERI 2 WONOSOBO More..,Jawa Tengah,Kab. Wonosobo,SMA
582,8,"524,941",69766189,SMAS IT DAARUL HIKMAH More..,Kalimantan Timur,Kota Bontang,SMA
583,10,"524,842",50105492,SMAN BALI MANDARA More..,Bali,Kab. Buleleng,SMA
584,88,"524,804",20580757,MAS UNGGULAN AMANATUL UMMAH SURABAYA More..,Jawa Timur,Kota Surabaya,MA 
585,6,"524,762",11002199,SMAN 5 BATAM More..,Kepulauan Riau,Kota Batam,SMA
586,112,"524,736",20219324,SMAN 9 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
587,100,"524,708",20341603,SMAS AL IRSYAD AL ISLAMIYYAH More..,Jawa Tengah,Kab. Banyumas,SMA
588,113,"524,681",20265284,SMAS YOS SUDARSO More..,Jawa Barat,Kab. Karawang,SMA
589,11,"524,659",50101705,SMAN 1 KUTA More..,Bali,Kab. Badung,SMA
590,114,"524,657",20219239,SMAN 14 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
591,115,"524,648",20277119,MAN 2 KOTA BOGOR More..,Jawa Barat,Kota Bogor,MA 
592,42,"524,62",20401126,SMAN 1 PRAMBANAN More..,DI Yogyakarta,Kab. Sleman,SMA
593,89,"524,589",20506254,SMA NEGERI 2 LAMONGAN More..,Jawa Timur,Kab. Lamongan,SMA
594,90,"524,516",20534122,SMAN 3 TARUNA ANGKASA MADIUN More..,Jawa Timur,Kota Madiun,SMA
595,6,"524,469",10504553,SMAN 3 KOTA JAMBI More..,Jambi,Kota Jambi,SMA
596,116,"524,318",20223040,SMAN 9 BEKASI More..,Jawa Barat,Kota Bekasi,SMA
597,117,"524,293",20254097,SMAS KETAPANG 3 More..,Jawa Barat,Kab. Bogor,SMA
598,118,"524,258",20229166,SMAN 4 KOTA DEPOK More..,Jawa Barat,Kota Depok,SMA
599,91,"524,242",20508480,SMAN 1 NGAWI More..,Jawa Timur,Kab. Ngawi,SMA
600,101,"524,209",20321428,SMA NEGERI 1 PARAKAN More..,Jawa Tengah,Kab. Temanggung,SMA
