data_key,urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
2170,170,26,"553,839",20312200,SMAN 1 KARANGANYAR More..,Jawa Tengah,Kab. Karanganyar,SMA
2171,171,24,"553,764",20533667,SMAN 4 More..,Jawa Timur,Kota Malang,SMA
2172,172,26,"553,668",20219254,SMAN 2 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2173,173,1,"553,465",30105210,SMAN 1 PONTIANAK More..,Kalimantan Barat,Kota Pontianak,SMA
2174,174,27,"553,371",20328894,SMA NEGERI 04 More..,Jawa Tengah,Kota Semarang,SMA
2175,175,6,"553,367",10211691,SMAS BUDI MULIA More..,Sumatera Utara,Kota Pematangsiantar,SMA
2176,176,27,"553,304",20223044,SMAN 5 BEKASI More..,Jawa Barat,Kota Bekasi,SMA
2177,177,1,"553,297",30401491,SMAN 1 BALIKPAPAN  More..,Kalimantan Timur,Kota Balikpapan,SMA
2178,178,25,"552,955",20520820,SMAN 2 LUMAJANG More..,Jawa Timur,Kab. Lumajang,SMA
2179,179,28,"552,257",20200691,SMAN 2 CIBINONG More..,Jawa Barat,Kab. Bogor,SMA
2180,180,28,"552,206",20306171,SMAN 7 PURWOREJO More..,Jawa Tengah,Kab. Purworejo,SMA
2181,181,29,"551,761",20325299,SMAN 1 SLAWI More..,Jawa Tengah,Kab. Tegal,SMA
